"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 13, 2018","1,915.00","1,921.25","1,925.25","1,915.00","-","-0.53%"
"Dec 12, 2018","1,925.25","1,927.00","1,931.63","1,926.25","-","-0.32%"
"Dec 11, 2018","1,931.50","1,933.50","1,952.90","1,928.50","-","-0.12%"
"Dec 10, 2018","1,933.75","1,933.75","1,956.50","1,933.75","-","-1.16%"
"Dec 07, 2018","1,956.50","1,969.75","1,972.18","1,943.00","-","0.69%"
"Dec 06, 2018","1,943.00","1,949.00","1,978.50","1,945.75","0.45K","-1.73%"
"Dec 05, 2018","1,977.25","1,979.25","1,981.50","1,975.75","-","-0.20%"
"Dec 04, 2018","1,981.25","1,976.25","1,987.86","1,971.00","-","-0.03%"
"Dec 03, 2018","1,981.75","1,981.25","1,990.90","1,966.75","-","0.76%"
"Nov 30, 2018","1,966.75","1,962.25","1,965.00","1,945.72","0.20K","1.03%"
"Nov 29, 2018","1,946.75","1,936.75","1,945.75","1,936.75","-","0.52%"
"Nov 28, 2018","1,936.75","1,937.00","1,939.75","1,927.90","0.21K","0.25%"
"Nov 27, 2018","1,932.00","1,922.75","1,952.25","1,921.75","-","-1.05%"
"Nov 26, 2018","1,952.50","1,949.75","1,954.00","1,941.50","-","0.06%"
"Nov 23, 2018","1,951.25","1,948.25","1,952.50","1,940.25","-","0.05%"
"Nov 22, 2018","1,950.25","1,955.75","1,958.25","1,953.00","-","-0.41%"
"Nov 21, 2018","1,958.25","1,960.25","1,961.00","1,944.25","-","0.72%"
"Nov 20, 2018","1,944.25","1,941.50","1,944.00","1,932.50","0.26K","0.61%"
"Nov 19, 2018","1,932.50","1,926.50","1,937.00","1,925.75","-","-0.23%"
"Nov 16, 2018","1,937.00","1,926.75","1,927.25","1,908.50","-","1.49%"
"Nov 15, 2018","1,908.50","1,923.00","1,929.50","1,915.25","-","-1.09%"
"Nov 14, 2018","1,929.50","1,932.00","1,933.75","1,926.00","-","0.18%"
"Nov 13, 2018","1,926.00","1,929.13","1,937.38","1,927.38","-","-0.41%"
"Nov 12, 2018","1,934.00","1,937.00","1,949.75","1,933.00","-","-0.85%"
